l,TT
2.570000000000000000e+02,4.765660192306813769e+03
2.580000000000000000e+02,4.745455202252168419e+03
2.590000000000000000e+02,4.724823667002596267e+03
2.600000000000000000e+02,4.703787492842591746e+03
2.610000000000000000e+02,4.682346297500647779e+03
2.620000000000000000e+02,4.660521980143931614e+03
2.630000000000000000e+02,4.638321579533868317e+03
2.640000000000000000e+02,4.615752130647694685e+03
2.650000000000000000e+02,4.592813236263947147e+03
2.660000000000000000e+02,4.569511923613722502e+03
2.670000000000000000e+02,4.545862644346688285e+03
2.680000000000000000e+02,4.521864989461672849e+03
2.690000000000000000e+02,4.497518546003825577e+03
2.700000000000000000e+02,4.472830325426711170e+03
2.710000000000000000e+02,4.447822191969278720e+03
2.720000000000000000e+02,4.422486292595621308e+03
2.730000000000000000e+02,4.396851912202480889e+03
2.740000000000000000e+02,4.370911190185415762e+03
2.750000000000000000e+02,4.344678547322138911e+03
2.760000000000000000e+02,4.318175829165230425e+03
2.770000000000000000e+02,4.291402592745293077e+03
2.780000000000000000e+02,4.264365820086076383e+03
2.790000000000000000e+02,4.237079918327493942e+03
2.800000000000000000e+02,4.209559291506134286e+03
2.810000000000000000e+02,4.181803483992102883e+03
2.820000000000000000e+02,4.153826894032671589e+03
2.830000000000000000e+02,4.125643917198503004e+03
2.840000000000000000e+02,4.097254089832614227e+03
2.850000000000000000e+02,4.068671802602299522e+03
2.860000000000000000e+02,4.039904015599442573e+03
2.870000000000000000e+02,4.010972543541161031e+03
2.880000000000000000e+02,3.981876914166015922e+03
2.890000000000000000e+02,3.952624081778783420e+03
2.900000000000000000e+02,3.923235855739587805e+03
2.910000000000000000e+02,3.893719187195749328e+03
2.920000000000000000e+02,3.864073597557759513e+03
2.930000000000000000e+02,3.834313463667627275e+03
2.940000000000000000e+02,3.804453161206901314e+03
2.950000000000000000e+02,3.774492208094819489e+03
2.960000000000000000e+02,3.744444977977279905e+03
2.970000000000000000e+02,3.714310986902568857e+03
2.980000000000000000e+02,3.684112035137510702e+03
2.990000000000000000e+02,3.653855065468904741e+03
3.000000000000000000e+02,3.623547019944198382e+03
3.010000000000000000e+02,3.593202167509954052e+03
3.020000000000000000e+02,3.562834373458539176e+03
3.030000000000000000e+02,3.532449973297728320e+03
3.040000000000000000e+02,3.502062730180032304e+03
3.050000000000000000e+02,3.471686406529841861e+03
3.060000000000000000e+02,3.441319907308564325e+03
3.070000000000000000e+02,3.410984421720297178e+03
3.080000000000000000e+02,3.380686281404436158e+03
3.090000000000000000e+02,3.350431817070222223e+03
3.100000000000000000e+02,3.320219930071562885e+03
3.110000000000000000e+02,3.290079234075332806e+03
3.120000000000000000e+02,3.260001199819147587e+03
3.130000000000000000e+02,3.230007010167716999e+03
3.140000000000000000e+02,3.200102989910667020e+03
3.150000000000000000e+02,3.170288034008531213e+03
3.160000000000000000e+02,3.140583320887169066e+03
3.170000000000000000e+02,3.110995170578863053e+03
3.180000000000000000e+02,3.081537329665653033e+03
3.190000000000000000e+02,3.052208686122706240e+03
3.200000000000000000e+02,3.023015554266015442e+03
3.210000000000000000e+02,2.993986531353958071e+03
3.220000000000000000e+02,2.965105642341475232e+03
3.230000000000000000e+02,2.936401479996093713e+03
