l,Nl
2.810000000000000000e+02,3.531178337274598627e-08
2.820000000000000000e+02,3.534102597938060447e-08
2.830000000000000000e+02,3.537053208319681611e-08
2.840000000000000000e+02,3.540029979664205596e-08
2.850000000000000000e+02,3.543032716737760338e-08
2.860000000000000000e+02,3.546061217914201335e-08
2.870000000000000000e+02,3.549115275226445807e-08
2.880000000000000000e+02,3.552194674508824531e-08
2.890000000000000000e+02,3.555299195413522879e-08
2.900000000000000000e+02,3.558428611517586224e-08
2.910000000000000000e+02,3.561582690395664194e-08
2.920000000000000000e+02,3.564761193632859759e-08
2.930000000000000000e+02,3.567963877280231788e-08
2.940000000000000000e+02,3.571190491479420488e-08
2.950000000000000000e+02,3.574440780675217602e-08
2.960000000000000000e+02,3.577714484120613110e-08
2.970000000000000000e+02,3.581011335501077886e-08
2.980000000000000000e+02,3.584331063432498629e-08
2.990000000000000000e+02,3.587673391375739378e-08
3.000000000000000000e+02,3.591038037840361530e-08
3.010000000000000000e+02,3.594424716584392597e-08
3.020000000000000000e+02,3.597833136242938649e-08
3.030000000000000000e+02,3.601263001079789738e-08
3.040000000000000000e+02,3.604714010606817557e-08
3.050000000000000000e+02,3.608185859763916336e-08
3.060000000000000000e+02,3.611678239099825185e-08
3.070000000000000000e+02,3.615190834671610435e-08
3.080000000000000000e+02,3.618723328500009368e-08
3.090000000000000000e+02,3.622275398469422764e-08
3.100000000000000000e+02,3.625846718504670818e-08
3.110000000000000000e+02,3.629436959017924124e-08
3.120000000000000000e+02,3.633045786540466687e-08
3.130000000000000000e+02,3.636672864165944295e-08
3.140000000000000000e+02,3.640317851455308230e-08
3.150000000000000000e+02,3.643980404876696683e-08
3.160000000000000000e+02,3.647660177979257828e-08
3.170000000000000000e+02,3.651356821032605616e-08
3.180000000000000000e+02,3.655069981729565289e-08
3.190000000000000000e+02,3.658799305093758116e-08
3.200000000000000000e+02,3.662544433652938748e-08
3.210000000000000000e+02,3.666305007348749145e-08
3.220000000000000000e+02,3.670080663970582756e-08
3.230000000000000000e+02,3.673871039327162286e-08
3.240000000000000000e+02,3.677675767420949075e-08
3.250000000000000000e+02,3.681494480620555996e-08
3.260000000000000000e+02,3.685326809579932567e-08
3.270000000000000000e+02,3.689172383411548780e-08
3.280000000000000000e+02,3.693030830116542253e-08
3.290000000000000000e+02,3.696901776759462453e-08
3.300000000000000000e+02,3.700784849394101047e-08
3.310000000000000000e+02,3.704679673490465993e-08
3.320000000000000000e+02,3.708585873864206489e-08
3.330000000000000000e+02,3.712503074854240415e-08
3.340000000000000000e+02,3.716430900751730196e-08
3.350000000000000000e+02,3.720368975732862139e-08
3.360000000000000000e+02,3.724316924287867296e-08
3.370000000000000000e+02,3.728274371157765306e-08
